,作品名,Item.reviewCount,アフィリエイトURL,商品説明,価格,レビュー平均,ジャンル
35,ラッシュライフ,1921,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1788768%2F,泥棒を生業とする男は新たなカモを物色する。父に自殺された青年は神に憧れる。女性カウンセラーは不倫相手との再婚を企む。職を失い家族に見捨てられた男は野良犬を拾う。幕間には歩くバラバラ死体登場ー。並走する四つの物語、交錯する十以上の人生、その果てに待つ意外な未来。不思議な人物、機知に富む会話、先の読めない展開。巧緻な騙し絵のごとき現代の寓話の幕が、今あがる。,825,4.01,文庫
36,きんぎょが にげた,1875,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F21971%2F,,990,4.71,絵本
37,グラスホッパー,1862,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4432546%2F,「復讐を横取りされた。嘘？」元教師の鈴木は、妻を殺した男が車に轢かれる瞬間を目撃する。どうやら「押し屋」と呼ばれる殺し屋の仕業らしい。鈴木は正体を探るため、彼の後を追う。一方、自殺専門の殺し屋・鯨、ナイフ使いの若者・蝉も「押し屋」を追い始める。それぞれの思惑のもとにー「鈴木」「鯨」「蝉」、三人の思いが交錯するとき、物語は唸りをあげて動き出す。疾走感溢れる筆致で綴られた、分類不能の「殺し屋」小説。,649,3.73,文庫
38,陽気なギャングが地球を回す,1801,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1794693%2F,嘘を見抜く名人、天才スリ、演説の達人、精確な体内時計を持つ女。この四人の天才たちは百発百中の銀行強盗だった…はずが、思わぬ誤算が。せっかくの「売上」を、逃走中に、あろうことか同じく逃走中の現金輸送車襲撃犯に横取りされたのだ！奪還に動くや、仲間の息子に不穏な影が迫り、そして死体も出現。映画化で話題のハイテンポな都会派サスペンス。,691,4.13,文庫
39,ONE PIECE 61,1794,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6907415%2F,,484,4.79,コミック
40,火花,1788,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F13113908%2F,お笑い芸人二人。奇想の天才である一方で人間味溢れる神谷、彼を師と慕う後輩徳永。笑いの真髄について議論しながら、それぞれの道を歩んでいる。神谷は徳永に「俺の伝記を書け」と命令した。彼らの人生はどう変転していくのか。人間存在の根本を見つめた真摯な筆致が感動を呼ぶ！「文學界」を史上初の大増刷に導いた話題作。,1320,3.68,単行本
41,ノルウェイの森（上）,1787,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1709070%2F,暗く重たい雨雲をくぐり抜け、飛行機がハンブルク空港に着陸すると、天井のスピーカーから小さな音でビートルズの『ノルウェイの森』が流れ出した。僕は一九六九年、もうすぐ二十歳になろうとする秋のできごとを思い出し、激しく混乱し、動揺していた。限りない喪失と再生を描き新境地を拓いた長編小説。,682,3.9,文庫
42,向日葵の咲かない夏,1781,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5808202%2F,夏休みを迎える終業式の日。先生に頼まれ、欠席した級友の家を訪れた。きい、きい。妙な音が聞こえる。Ｓ君は首を吊って死んでいた。だがその衝撃もつかの間、彼の死体は忽然と消えてしまう。一週間後、Ｓ君はあるものに姿を変えて現れた。「僕は殺されたんだ」と訴えながら。僕は妹のミカと、彼の無念を晴らすため、事件を追いはじめた。あなたの目の前に広がる、もう一つの夏休み。,825,3.24,文庫
43,じゃあじゃあびりびり 改訂,1712,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1369611%2F,,660,4.58,絵本
44,八日目の蝉,1684,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6963773%2F,,649,3.96,文庫
