,作品名,Item.reviewCount,アフィリエイトURL,商品説明,価格,レビュー平均,ジャンル
1760,バッテリーII,241,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1684600%2F,「育ててもらわなくてもいい。誰の力を借りなくても、おれは最高のピッチャーになる。信じているのは自分の力だー」中学生になり野球部に入部した巧と豪。二人を待っていたのは監督の徹底管理の下、流れ作業のように部活をこなす先輩部員達だった。監督に歯向かい絶対の自信を見せる巧に対し、豪はとまどい周囲は不満を募らせていく。そしてついに、ある事件が起きて…！各メディアが絶賛！大人も子どもも夢中になる大人気作品。,660,4.28,文庫
1761,RDGレッドデータガール はじめてのお使い,241,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11198998%2F,世界遺産に認定された熊野古道、玉倉山にある玉倉神社。そこに住む泉水子は中学三年まで、麓の中学と家の往復だけの生活を送ってきた。しかし、高校進学は、幼なじみの深行とともに東京の鳳城学園へ入学するよう周囲に決められてしまう。互いに反発する二人だったが、修学旅行先の東京で、姫神と呼ばれる謎の存在が現れ、さらに恐ろしい事件が襲いかかる。一族には大きな秘密がー。現代ファンタジーの最高傑作、ついに文庫化。,616,3.86,文庫
1762,聖の青春,241,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1443346%2F,重い腎臓病を抱え、命懸けで将棋を指す弟子のために、師匠は彼のパンツをも洗った。弟子の名前は村山聖。享年２９。将棋界の最高峰Ａ級に在籍したままの逝去だった。名人への夢半ばで倒れた“怪童”の一生を、師弟愛、家族愛、ライバルたちとの友情を通して描く感動ノンフィクション。第１３回新潮学芸賞受賞作。,858,4.49,文庫
1763,円卓,241,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12435788%2F,公団住宅で三つ子の姉と、両親、祖父母に愛されて暮らす「こっこ」こと渦原琴子は、口が悪く、偏屈で硬派な、孤独に憧れる小学三年生。こっこの日常は、不満と問題と驚きと発見に満ちている。世間の価値観に立ち止まり、悩み考え成長する姿を、活きのいい言葉でユーモラスに温かく描く。光溢れる感動傑作。,550,4.03,文庫
1764,下流志向　学ばない子どもたち　働かない若者たち,241,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6120962%2F,なぜ日本の子どもたちは勉強を、若者は仕事をしなくなったのか。だれもが目を背けたいこの事実を、真っ向から受け止めて、鮮やかに解き明かす怪書。「自己決定論」はどこが間違いなのか？「格差」の正体とは何か？目からウロコの教育論、ついに文庫化。「勉強って何に役立つの？」とはもう言わせない。,682,4.13,文庫
1765,十字屋敷のピエロ,241,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F515544%2F,ぼくはピエロの人形だ。人形だから動けない。しゃべることもできない。殺人者は安心してぼくの前で凶行を繰り返す。もし、そのぼくが読者のあなたにだけ、目撃したことを語れるならば…しかもドンデン返しがあって真犯人がいる。前代未聞の仕掛けで推理読者に挑戦する気鋭の乱歩賞作家の新感覚ミステリー。,649,3.57,文庫
1766,ウェブはバカと暇人のもの,240,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6041110%2F,著者はニュースサイトの編集者をやっている関係で、ネット漬けの日々を送っているが、とにかくネットが気持ち悪い。そこで他人を「死ね」「ゴミ」「クズ」と罵倒しまくる人も気持ち悪いし、「通報しますた」と揚げ足取りばかりする人も気持ち悪いし、アイドルの他愛もないブログが「絶賛キャーキャーコメント」で埋まるのも気持ち悪いし、ミクシィの「今日のランチはカルボナーラ」みたいなどうでもいい書き込みも気持ち悪い。うんざりだ。-本書では、「頭の良い人」ではなく、「普通の人」「バカ」がインターネットをどう利用しているのか？リアルな現実を、現場の視点から描写する。,836,3.69,新書
1767,孤宿の人 下,240,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6244677%2F,加賀様は悪霊だ。丸海に災厄を運んでくる。妻子と側近を惨殺した咎で涸滝の屋敷に幽閉された加賀殿の祟りを領民は恐れていた。井上家を出たほうは、引手見習いの宇佐と姉妹のように暮らしていた。やがて、涸滝に下女として入ったほうは、頑なに心を閉ざす加賀殿といつしか気持ちを通わせていく。水面下では、藩の存亡を賭した秘策が粛々と進んでいた。著者の時代小説最高峰、感涙の傑作。,880,4.39,文庫
1768,おおきく振りかぶって（Vol．15）,240,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6483655%2F,,726,4.63,コミック
1769,妖怪ウォッチ2 元祖／本家 オフィシャル攻略ガイド,240,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12886656%2F,妖怪３６７体、初公開。新妖怪からレジェンド妖怪まで必殺技や能力が丸わかり。８章までのシナリオ＆マップ＆サブクエスト完全攻略。,1320,4.67,ムックその他
1770,ハゴロモ,240,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4072333%2F,失恋の痛みと、都会の疲れをいやすべく、ふるさとに舞い戻ったほたる。大きな川の流れるその町で、これまでに失ったもの、忘れていた大切な何かを、彼女は取り戻せるだろうか…。赤いダウンジャケットの青年との出会い。冷えた手をあたためた小さな手袋。人と人との不思議な縁にみちびかれ、次第によみがえる記憶ー。ほっこりと、ふわりと言葉にくるまれる魔法のような物語。,506,3.92,文庫
1771,戸村飯店青春100連発,240,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11452988%2F,大阪の超庶民的中華料理店、戸村飯店の二人の息子。要領も見た目もいい兄、ヘイスケと、ボケがうまく単純な性格の弟、コウスケ。家族や兄弟でも、折り合いが悪かったり波長が違ったり。ヘイスケは高校卒業後、東京に行く。大阪と東京で兄弟が自分をみつめ直す、温かな笑いに満ちた傑作青春小説。坪田譲治文学賞受賞作。,737,4.22,文庫
1772,わたしのマトカ,240,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6371961%2F,北欧の国で出会ったのは薔薇色の頬をした温かい人たちだった。旅にまつわる名エッセイ。,550,4.23,文庫
1773,ご冗談でしょう，ファインマンさん　上,240,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1122873%2F,２０世紀アメリカの独創的物理学者が、奇想天外な話題に満ちた自らの体験をユーモアたっぷりに語る。持ち前の探求心と、大のいたずら好きは少年時代から変わらぬまま。大学時代や戦時下の研究所生活でも、周囲はいつもファインマンさんにしてやられる。愉快なエピソードのなかに、科学への真摯な情熱を伝える好読物。,1430,4.08,文庫
1774,坂本ですが？　1,240,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12127522%2F,,682,3.73,コミック
1775,鍵のない夢を見る,240,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F13238778%2F,どうして私にはこんな男しか寄ってこないのだろう？放火現場で再会したのは合コンで知り合った冴えない男。彼は私と再会するために火を？（「石蕗南地区の放火」）。夢ばかり追う恋人に心をすり減らす女性教師を待つ破滅（「芹葉大学の夢と殺人」）他、地方の町でささやかな夢を見る女たちの暗転を描き絶賛を浴びた直木賞受賞作。,704,3.43,文庫
1776,まひるの月を追いかけて,240,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4388875%2F,異母兄が奈良で消息を絶った。たったの二度しか会ったことがない兄の彼女に誘われて、私は研吾を捜す旅に出る。早春の橿原神宮、藤原京跡、今井、明日香…。旅が進むにつれ、次々と明らかになる事実。それは真実なのか嘘なのか。旅と物語の行き着く先はー。恩田ワールド全開のミステリーロードノベル。,792,3.23,文庫
1777,押入れのちよ,240,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5939175%2F,失業中サラリーマンの恵太が引っ越した先は、家賃３万３千円の超お得な格安アパート。しかし一日目の夜玄関脇の押入れから「出て」きたのは、自称明治３９年生れの１４歳、推定身長１３０ｃｍ後半の、かわいらしい女の子だった（表題作「押入れのちよ」）。ままならない世の中で、必死に生きざるをえない人間（と幽霊）の可笑しみや哀しみを見事に描いた、全９夜からなる傑作短編集。,693,3.76,文庫
1778,くまとやまねこ,239,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5499974%2F,突然、最愛の友だち・ことりをなくしてしまった、くま。くらくしめきった部屋に、ひとり閉じこもっていたくまが、やがて見つけた、あたらしい時のかがやき。感動の絵本。,1430,4.62,単行本
1779,ぐりとぐらのあいうえお,239,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1414816%2F,,660,4.5,絵本
1780,産後骨盤ダイエット,239,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5434545%2F,妊娠時の脂肪を取るのは、とても簡単。それよりもむしろ、出産後太らないようにし、ヤセ体質をつくることが大切です。大学で骨盤ダイエットの講座を持つ著者が、家庭で簡単にできる「産後ダイエット法」をわかりやすく紹介します。,1430,4.26,単行本
1781,超　筋トレが最強のソリューションである　筋肉が人生を変える超科学的な理由,239,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F15412381%2F,筋トレ最強説を最新科学で実証！筋トレ自己啓発書の決定版。,1408,4.0,単行本
1782,喋々喃々,239,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11116060%2F,ちょうちょうなんなん（喋々喃々）＝男女が楽しげに小声で語り合うさま。東京・谷中でアンティークきもの店を営む栞。ある日店に父親に似た声をした男性客が訪れるー少しずつふくらむ恋心や家族との葛藤が、季節の移ろいやおいしいものの描写を交え丁寧に描かれる。,726,3.77,文庫
1783,銃・病原菌・鉄　上,239,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1190416%2F,なぜ人間は五つの大陸で異なる発展をとげたのか？人類史の壮大なミステリーに挑んだ話題の書！ピュリッツァー賞、コスモス国際賞受賞。,2090,4.19,単行本
1784,罪と罰（下巻）改版,239,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F136760%2F,不安と恐怖に駆られ、良心の呵責に耐えきれぬラスコーリニコフは、偶然知り合った娼婦ソーニャの自己犠牲に徹した生き方に打たれ、ついに自らを法の手にゆだねる。-ロシヤ思想史にインテリゲンチャの出現が特筆された１８６０年代、急激な価値転換が行われる中での青年層の思想の昏迷を予言し、強烈な人間回復への願望を訴えたヒューマニズムの書として不滅の価値に輝く作品である。,924,4.19,文庫
1785,伊豆の踊子,239,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1652884%2F,,473,3.61,文庫
1786,いいおかお,239,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F118796%2F,,770,4.46,絵本
1787,他人を見下す若者たち,238,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F3832349%2F,,990,3.09,新書
1788,いなくなれ、群青,238,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12880159%2F,１１月１９日午前６時４２分、僕は彼女に再会した。誰よりも真っ直ぐで、正しく、凛々しい少女、真辺由宇。あるはずのない出会いは、安定していた僕の高校生活を一変させる。奇妙な島。連続落書き事件。そこに秘められた謎…。僕はどうして、ここにいるのか。彼女はなぜ、ここに来たのか。やがて明かされる真相は、僕らの青春に残酷な現実を突きつける。「階段島」シリーズ、開幕。,693,3.5,文庫
1789,Naruto（47）,238,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6115405%2F,,484,4.66,コミック
1790,読みたいことを、書けばいい。,238,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F15924048%2F,,1650,4.03,単行本
1791,緋色の研究改版,238,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F907234%2F,文学の知識ー皆無、哲学の知識ー皆無。毒物に通暁し、古今の犯罪を知悉し、ヴァイオリンを巧みに奏する特異な人物シャーロック・ホームズが初めて世に出た、探偵小説の記念碑的作品。ワトスンとホームズの出会いから、空家で発見された外傷のないアメリカ人の死体、そして第二の死体の発見…と、息つく間もなく事件が展開し、ホームズの超人的な推理力が発揮される。,506,3.94,文庫
1792,雨の日も、晴れ男,238,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5733544%2F,二人の幼い神のいたずらで不幸な出来事が次々起こるアレックス。だが、会社をクビになろうとも、家が焼けようとも、妻子が出ていこうとも、彼は常に他人を楽しませ、前向きに生きていた。その様子を見た二人は、全知全能の神ゼウスの制止を振り切って…。人生で一番大切な事は何かを教えてくれる感動のエンターテイメント小説。,682,3.8,文庫
1793,うつくしい人,238,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11306958%2F,他人の目を気にして、びくびくと生きている百合は、単純なミスがきっかけで会社をやめてしまう。発作的に旅立った離島のホテルで出会ったのはノーデリカシーなバーテン坂崎とドイツ人マティアス。ある夜、三人はホテルの図書室で写真を探すことに。片っ端から本をめくるうち、百合は自分の縮んだ心がゆっくりとほどけていくのを感じていたー。,544,3.63,文庫
1794,たべたのだあれ,237,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F56800%2F,,660,4.48,絵本
1795,マーケット感覚を身につけよう,237,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F13092091%2F,プライシング能力を身につける、インセンティブシステムを理解する、市場に評価される方法を学ぶ、失敗と成功の関係を理解する、市場性の高い環境に身をおく。マーケット感覚を鍛え、「これから何が売れるのか？」わかる人になる５つの方法。,1650,4.12,単行本
1796,おそろし　三島屋変調百物語事始,237,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11669185%2F,１７歳のおちかは、ある事件を境に、ぴたりと他人に心を閉ざした。ふさぎ込む日々を、叔父夫婦が江戸で営む袋物屋「三島屋」に身を寄せ、黙々と働くことでやり過ごしている。ある日、叔父の伊兵衛はおちかに、これから訪ねてくるという客の応対を任せると告げ、出かけてしまう。客と会ったおちかは、次第にその話に引き込まれていき、いつしか次々に訪れる客のふしぎ話は、おちかの心を溶かし始める。三島屋百物語、ここに開幕。,792,4.02,文庫
1797,「空腹」が人を健康にする,237,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11516199%2F,お腹が「グーッ」と鳴ると、体中の細胞が活性化する！「生命力遺伝子」を活用して美しく元気に生きる方法。,1540,4.01,単行本
1798,獣の奏者　（2）王獣編,237,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4227402%2F,傷ついた王獣の子、リランを救いたい一心で、王獣を操る術を見つけてしまったエリンに、学舎の人々は驚愕する。しかし、王獣は「けっして馴らしてはいけない獣」であった。その理由を、エリンはやがて、身をもって知ることになる…。王国の命運をかけた争いに巻きこまれていくエリン。-人と獣との間にかけられた橋が導く、絶望と希望とは？著者渾身の長編ファンタジー。,1760,4.43,単行本
1799,苦役列車,237,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11629916%2F,劣等感とやり場のない怒りを溜め、埠頭の冷凍倉庫で日雇い仕事を続ける北町貫多、１９歳。将来への希望もなく、厄介な自意識を抱えて生きる日々を、苦役の従事と見立てた貫多の明日はー。現代文学に私小説が逆襲を遂げた、第１４４回芥川賞受賞作。後年私小説家となった貫多の、無名作家たる諦観と八方破れの覚悟を描いた「落ちぶれて袖に涙のふりかかる」を併録。,539,3.46,文庫
1800,3月のライオン（9）,237,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12417409%2F,,534,4.62,コミック
1801,リーダブルコード,236,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11753651%2F,コードは理解しやすくなければならない。本書はこの原則を日々のコーディングの様々な場面に当てはめる方法を紹介する。名前の付け方、コメントの書き方など表面上の改善について。コードを動かすための制御フロー、論理式、変数などループとロジックについて。またコードを再構成するための方法。さらにテストの書き方などについて、楽しいイラストと共に説明する。日本語版ではＲｕｂｙやｇｒｏｏｎｇａのコミッタとしても著名な須藤功平氏による解説を収録。,2640,4.39,単行本
1802,百姓貴族（2）,236,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11509488%2F,,748,4.6,コミック
1803,図南の翼 十二国記,236,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F12457995%2F,,781,4.63,文庫
1804,竜馬がゆく 三,236,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1001020%2F,浪人となった竜馬は、幕府の要職にある勝海舟と運命的な出会いをする。勝との触れ合いによって、かれはどの勤王の志士ともちがう独自の道を歩き始めた。生麦事件など攘夷熱の高まる中で、竜馬は逆に日本は開国して、海外と交易しなければならない、とひそかに考える。そのためにこそ幕府を倒さなければならないのだ、とも。,825,4.42,文庫
1805,男の子のしつけに悩んだら読む本,236,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6864472%2F,男の子の行動を変えるのに、厳しくするのは逆効果。「今すぐ」を求めない。気長に待つ。「具体的な言葉」で、何度でも教える。１日３０回、笑顔にする。叱らなくてもちゃんと伝わる方法。,1430,4.5,単行本
1806,また、同じ夢を見ていた,236,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F15499845%2F,「人生とは和風の朝ごはんみたいなものなのよ」小柳奈ノ花は「人生とは〜」が口癖のちょっとおませな女の子。ある日、彼女は草むらで一匹の猫に出会う。そしてその出会いは、とても格好いい“アバズレさん”、手首に傷がある“南さん”といった、様々な過去を持つ女性たちとの不思議な出会いに繋がっていきー。大ベストセラー青春小説『君の膵臓をたべたい』の住野よるが贈る、幸せを探す物語。,722,4.16,文庫
1807,森に眠る魚,236,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11418594%2F,東京の文教地区の町で出会った５人の母親。育児を通して心をかよわせるが、いつしかその関係性は変容していた。-あの人たちと離れればいい。なぜ私を置いてゆくの。そうだ、終わらせなきゃ。心の声は幾重にもせめぎ合い、それぞれが追いつめられてゆく。凄みある筆致で描きだした、現代に生きる母親たちの深い孤独と痛み。渾身の長編母子小説。,754,3.79,文庫
1808,床下の小人たち新版,236,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1188592%2F,イギリスの古風な家の床下に住む小人の一家。暮らしに必要なものはすべて、こっそり人間から借りていましたが、ある日、その家の男の子に姿を見られてしまいますーカーネギー賞を受賞した「小人シリーズ」の第１作。小学５・６年以上。,748,3.97,全集・双書
1809,経済は感情で動く,236,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F5602264%2F,経済学って、こんなに人間的で、面白い学問だったのか。最新の行動経済学は、経済の主体であるところの人間の行動、その判断と選択に心理学の視点から光を当てる。そこに見えてきたのは、合理性とは似つかない「人間的で、あまりに人間的な」一面。クイズ形式で楽しく読み進むうちに、「目からうろこ」、ビジネスでのヒントに溢れ、お金をめぐるあなたの常識を覆す。,1760,3.74,単行本
1810,投資家が「お金」よりも大切にしていること,236,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F11905536%2F,本書は、著者が投資家として２０年以上かけて考えてきた「お金の本質とは何か」の結論を一冊に凝縮したものである。,902,4.12,新書
1811,がらくた,236,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6366490%2F,私は彼のすべてを望んだ、その存在も、不在による空虚さもー。４５歳の翻訳家・柊子と１５歳の美しい少女・美海。そして、大胆で不穏な夫。彼は天性の魅力で女性を誘惑する。妻以外のガールフレンドたちや、無防備で大人びた美海の心を。柊子はそのすべてを受け容れる、彼を所有するために。知性と官能が絡み合い、恋愛の隙間からこぼれ出す愉悦ともどかしさを描く傑作長編小説。,693,3.46,文庫
1812,三陸海岸大津波,236,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F1649914%2F,明治２９年、昭和８年、そして昭和３５年。青森・岩手・宮城の三県にわたる三陸沿岸は三たび大津波に襲われ、人々に悲劇をもたらした。大津波はどのようにやってきたか、生死を分けたのは何だったのかー前兆、被害、救援の様子を体験者の貴重な証言をもとに再現した震撼の書。,550,4.23,文庫
1813,密室の鍵貸します,236,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F3736025%2F,しがない貧乏学生・戸村流平にとって、その日は厄日そのものだった。彼を手ひどく振った恋人が、背中を刺され、４階から突き落とされて死亡。その夜、一緒だった先輩も、流平が気づかぬ間に、浴室で刺されて殺されていたのだ！かくして、二つの殺人事件の第一容疑者となった流平の運命やいかに？ユーモア本格ミステリの新鋭が放つ、面白過ぎるデビュー作。,586,3.5,文庫
1814,だるまちゃんとてんぐちゃん,236,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F121099%2F,,990,4.48,絵本
1815,株価暴落,236,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F4320351%2F,巨大スーパー・一風堂を襲った連続爆破事件。企業テロを示唆する犯行声明に株価は暴落、一風堂の巨額支援要請をめぐって、白水銀行審査部の板東は企画部の二戸と対立する。一方、警視庁の野猿刑事にかかったタレコミ電話で犯人と目された男の父は、一風堂の強引な出店で自殺に追いこまれていた。傑作金融エンタテイメント。,737,3.8,文庫
1816,その後のツレがうつになりまして。,235,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F6052264%2F,仕事のストレスでうつ病にかかったツレは、明るい前向きな人間から、暗いがんばれない人間になった。でも、三年間の闘病生活を妻とともに乗り越え、回復したのだ。ツレの性格は以前と違うし、あきらめたこともたくさんあるけれど、ふたりは少しずつ変化を受け入れていくー。うつ病後の日々を描く大ベストセラーの純愛コミックエッセイ第二弾。,502,4.2,文庫
1817,ずーっとずっとだいすきだよ,235,https://hb.afl.rakuten.co.jp/hgc/g00q0729.bn8ok5ae.g00q0729.bn8ombe7/?pc=https%3A%2F%2Fbooks.rakuten.co.jp%2Frb%2F331332%2F,エルフィーとぼくは、いっしょに大きくなった。年月がたって、ぼくの背がのびる一方で、愛するエルフィーはふとって動作もにぶくなっていった。ある朝、目がさめると、エルフィーが死んでいた。深い悲しみにくれながらも、ぼくには、ひとつ、なぐさめが、あった。それは…,1320,4.67,絵本
